COSMIC_ID,CELL_LINE_NAME
DATA.684057,ES5
DATA.684059,ES7
DATA.684062,EW-11
DATA.684072,SK-ES-1
DATA.687448,COLO-829
DATA.687562,8-MG-BA
DATA.687568,GB-1
DATA.687590,U-87-MG
DATA.687600,NCI-H720
DATA.687799,NCI-H1648
DATA.687800,NCI-H1650
DATA.687804,NCI-H1770
DATA.687807,NCI-H1838
DATA.687983,DMS-114
DATA.687997,NCI-H1092
DATA.688006,NCI-H1694
DATA.688007,NCI-H187
DATA.688010,NCI-H1963
DATA.688013,NCI-H209
DATA.688014,NCI-H2141
DATA.688018,NCI-H2227
DATA.688021,NCI-H345
DATA.688023,NCI-H446
DATA.688025,NCI-H526
DATA.688026,NCI-H64
DATA.688027,NCI-H69
DATA.688031,NCI-H82
DATA.688086,SK-N-DZ
DATA.688087,SK-N-FI
DATA.688121,VA-ES-BJ
DATA.713878,LU-139
DATA.713885,SBC-1
DATA.724859,Calu-6
DATA.724863,LU-65
DATA.724866,NCI-H1355
DATA.724872,SHP-77
DATA.735784,TE-5
DATA.749711,HCC1187
DATA.749713,HCC1599
DATA.749715,HCC2157
DATA.749716,HCC2218
DATA.753531,BB30-HNC
DATA.753532,BB49-HNC
DATA.753546,CP66-MEL
DATA.753547,CPC-N
DATA.753548,CTV-1
DATA.753549,D-542MG
DATA.753551,DMS-79
DATA.753552,DSH1
DATA.753555,EC-GI-10
DATA.753558,HA7-RCC
DATA.753563,IM-9
DATA.753564,IST-SL1
DATA.753565,IST-SL2
DATA.753577,LB1047-RCC
DATA.753578,LB2241-RCC
DATA.753579,LB2518-MEL
DATA.753581,LB373-MEL-D
DATA.753582,LB647-SCLC
DATA.753583,LB771-HNC
DATA.753584,LB831-BLC
DATA.753585,LB996-RCC
DATA.753588,LU-134-A
DATA.753589,LU-165
DATA.753592,LXF-289
DATA.753594,MS-1
DATA.753595,MZ1-PC
DATA.753596,MZ7-mel
DATA.753599,NCI-H1304
DATA.753605,NCI-H510A
DATA.753612,SK-MM-2
DATA.753614,TE-15
DATA.753615,U-266
DATA.753616,BE2-M17
DATA.753618,KELLY
DATA.753620,SIMA
DATA.753621,TE-1
DATA.753622,TE-10
DATA.753623,TE-8
DATA.905938,HL-60
DATA.905940,K-562
DATA.905941,NCI-H226
DATA.905942,NCI-H23
DATA.905952,CCRF-CEM
DATA.905955,SK-MEL-2
DATA.905958,MOLT-4
DATA.905964,RPMI-8226
DATA.905965,SR
DATA.905967,NCI-H322M
DATA.905970,EKVX
DATA.905971,HCC2998
DATA.905972,HOP-62
DATA.905974,LOXIMVI
DATA.905977,UACC-257
DATA.905978,RXF393
DATA.905980,TK10
DATA.905982,SNB75
DATA.905984,SF539
DATA.905986,SF268
DATA.905989,KM12
DATA.905990,OVCAR-4
DATA.906746,Becker
DATA.906763,BE-13
DATA.906765,ARH-77
DATA.906794,A253
DATA.906800,697
DATA.906808,COR-L88
DATA.906812,COLO-824
DATA.906813,COLO-800
DATA.906831,Daudi
DATA.906832,DB
DATA.906834,D-283MED
DATA.906836,DEL
DATA.906838,DG-75
DATA.906841,DJM-1
DATA.906842,DOHH-2
DATA.906844,DU-4475
DATA.906846,EB2
DATA.906847,EB-3
DATA.906849,ECC12
DATA.906854,EHEB
DATA.906855,EM-2
DATA.906856,EoL-1-cell
DATA.906861,ETK-1
DATA.906862,EVSA-T
DATA.906869,GCIY
DATA.906870,GDM-1
DATA.906871,GI-1
DATA.906872,GI-ME-N
DATA.906875,GOTO
DATA.906877,GR-ST
DATA.907043,H9
DATA.907044,HC-1
DATA.907053,HEL
DATA.907056,HH
DATA.907067,HT-144
DATA.907073,HuTu-80
DATA.907170,IMR-5
DATA.907172,IST-MEL1
DATA.907173,IST-MES1
DATA.907175,JAR
DATA.907268,JiyoyeP-2003
DATA.907269,JVM-2
DATA.907270,JVM-3
DATA.907271,KALS-1
DATA.907272,KARPAS-45
DATA.907273,KARPAS-299
DATA.907274,KARPAS-422
DATA.907275,KASUMI-1
DATA.907277,KE-37
DATA.907278,KG-1
DATA.907279,KINGS-1
DATA.907280,KMOE-2
DATA.907282,KNS-42
DATA.907290,H-EMC-SS
DATA.907300,KY821
DATA.907311,KU812
DATA.907313,KS-1
DATA.907314,KP-N-YN
DATA.907322,L-428
DATA.907323,L-540
DATA.907783,LAMA-84
DATA.907786,LC-2-ad
DATA.907787,LC4-1
DATA.907788,LNCaP-Clone-FGC
DATA.907789,LOUCY
DATA.907791,LP-1
DATA.907792,LS-123
DATA.907794,LS-411N
DATA.907795,LS-513
DATA.907799,MC116
